Release,Order,NR,NREF,NFIX,NAUTH,LINES_SUM,LINES_MAX,LINES_AVG,CHURN_SUM,CHURN_MAX,CHURN_AVG,CHGSET_SUM,CHGSET_MAX,CHGSET_AVG,AGE,AGE_WEIGHTED,Impl,LOC.A,LOC.M,LOC.D,Violations,Faultiness
104,FIRST,3,0,1,0,0,0,0,0,0,0,0,0,0,43,22,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,3,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,FALSE
100,FIRST,3,0,3,2,0,0,0,0,0,0,6,3,2,23,NA,0,0,0,0,78,FALSE
100,FIRST,16,0,0,2,218,62,13,22,-14,1,79,11,4,21,NA,16,120,186,98,31,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,FALSE
100,FIRST,1,0,1,1,0,0,0,0,0,0,1,1,1,19,NA,0,0,0,0,61,FALSE
100,FIRST,6,0,1,2,31,18,6,31,18,6,29,11,4,23,NA,5,31,8,0,66,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,17,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,FALSE
100,FIRST,2,0,0,2,16,16,7,2,2,1,47,29,23,21,NA,2,9,4,7,0,FALSE
102,FIRST,6,0,2,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,15,FALSE
102,FIRST,1,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,41,FALSE
102,FIRST,3,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,16,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,16,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
102,FIRST,3,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,78,FALSE
100,FIRST,5,0,1,2,9,9,2,-9,-9,-2,26,10,5,21,NA,4,0,12,9,0,FALSE
100,FIRST,5,0,3,1,27,14,13,27,14,13,23,8,4,25,NA,2,27,0,0,59,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,FALSE
100,FIRST,2,0,1,1,0,0,0,0,0,0,4,3,2,19,NA,1,0,1,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,FALSE
102,FIRST,3,0,2,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,80,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,FALSE
100,FIRST,4,0,1,2,5,5,1,5,5,1,40,29,10,23,NA,3,5,7,0,0,FALSE
104,FIRST,5,0,1,0,0,0,0,0,0,0,0,0,0,43,22,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,NA,0,0,0,0,6,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,FALSE
104,FIRST,3,0,2,0,0,0,0,0,0,0,0,0,0,43,22,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,FALSE
102,FIRST,14,0,8,1,5,5,5,5,5,5,5,2,1,26,22,1,5,0,0,0,TRUE
102,FIRST,14,0,7,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,TRUE
100,FIRST,1,0,0,1,37,37,37,37,37,37,3,3,3,22,NA,1,37,1,0,17,TRUE
104,FIRST,12,0,4,0,0,0,0,0,0,0,0,0,0,44,23,0,0,0,0,64,TRUE
100,FIRST,10,0,5,3,96,78,18,92,74,18,35,10,2,22,NA,5,94,32,2,0,TRUE
